,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.02,,33kV Consumer Switchgear Panel 2 Tenant 33kV  as  per drawing & specification  located in Consumer Room,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.02.01,,Incoming Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
07.01.02.02,,Outgoing Feeder ,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.03,,33kV Consumer Switchgear Panel 3 Landlord 33kV  as  per drawing & specification  located under ramp,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.03.01,,Incoming Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
07.01.03.02,,Outgoing Feeder (Include spare),7," 3,000.00 "," 21,000.00 "," 3,000.00 "," 21,000.00 ",,,," 10,000.00 "," 70,000.00 ",," 6,500.00 "," 45,500.00 ",," 3,000.00 "," 21,000.00 ",," 5,750.00 "," 40,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.04,,33kV Consumer Switchgear Panel 4 Tenant 33kV  as  per drawing & specification located under ramp,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.04.01,,Incoming Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
07.01.04.02,,Outgoing Feeder,1," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 6,500.00 "," 6,500.00 ",," 3,000.00 "," 3,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.05,,To supply and install  TNB CT metering panel c/w necessary wiring and accessories,2," 5,650.00 "," 11,300.00 "," 5,650.00 "," 11,300.00 ",,,," 3,888.00 "," 7,776.00 ",," 4,500.00 "," 9,000.00 ",," 5,200.00 "," 10,400.00 ",," 8,050.00 "," 16,100.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.06,,"To supply and install  battery c/w dual Battery Charger, incoming cabling and outgoing cables as per drawing & specification.",4," 19,845.00 "," 79,380.00 "," 19,845.00 "," 79,380.00 ",,,," 55,200.00 "," 220,800.00 ",," 22,000.00 "," 88,000.00 ",," 12,200.00 "," 48,800.00 ",," 21,275.00 "," 85,100.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.07,,Perform pressure testing as per specification.,1," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,," 56,000.00 "," 56,000.00 ",," 126,000.00 "," 126,000.00 ",," 4,200.00 "," 4,200.00 ",," 17,250.00 "," 69,000.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.08,,Perform Calibration to OC & EF relays as per TNB requirement and as per drawing and specification,1," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,," 21,000.00 "," 21,000.00 ",," 12,000.00 "," 12,000.00 ",," 7,000.00 "," 7,000.00 ",," 144,900.00 "," 144,900.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.09,,Supply and install frame earth system including copper tapes from equipment to earth bar c/w necesssary accessories. (Earth bar by others),1," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,," 35,000.00 "," 35,000.00 ",," 15,000.00 "," 15,000.00 ",," 28,000.00 "," 28,000.00 ",," 34,500.00 "," 34,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.10,,Supply and install TNB Class 0.2CT Meter c/w Calibrate (CT50/5A and 150/5A) TNB Calibration Fees ,1," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,," 72,000.00 "," 72,000.00 ",," 32,000.00 "," 32,000.00 ",," 8,000.00 "," 8,000.00 ",," 102,350.00 "," 102,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.11,,"To supply Labelling, signage, rubber mat, drawings, CPR diagram etc.",1," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,," 25,000.00 "," 25,000.00 ",," 3,000.00 "," 3,000.00 ",," 4,800.00 "," 4,800.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
07.01.12,,Fill up trench with sand  c/w steel plate/concrete slab,1," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,," 25,000.00 "," 25,000.00 ",," 15,000.00 "," 15,000.00 ",," 12,000.00 "," 12,000.00 ",," 20,700.00 "," 20,700.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.00.00,,"HT CABLING

LABOUR for the unloading and installation, connect, testing and commissioning of submain cabling inclusive of earth continuity conductors/cable glands and termination/ trunking / conduit / cable ladders, cable trays, cable trunking, bracket, support, continuity and other accessories as per specification and drawings.",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.01.00,,From TNB SSU to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.01.01,,1x3C 300mm XLPE/SWA/PVC 33kV AL Cable (TNB Spec) to Switchgear Panel 1                         Approximate length: 50m,50,  ,  , 91.00 ," 4,550.00 ",,,, 100.00 ," 5,000.00 ",, 180.00 ," 9,000.00 ",, 135.00 ," 6,750.00 ",, 467.00 ," 23,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.01.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable (TNB Spec) to Switchgear Panel 2     
Approximate length: 50m",50,  ,  , 91.00 ," 4,550.00 ",,,, 100.00 ," 5,000.00 ",, 180.00 ," 9,000.00 ",, 135.00 ," 6,750.00 ",, 467.00 ," 23,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.00,,From Switchgear Panel 1 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to Switchgear Panel 3                        
Approximate length: 200m",200,  ,  ,  ,  ,,,, 100.00 ," 20,000.00 ",, 180.00 ," 36,000.00 ",, 135.00 ," 27,000.00 ",, 467.00 ," 93,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.00,,From Switchgear Panel 2 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to Switchgear Panel 4                        
Approximate length: 200m",200,  ,  ,  ,  ,,,, 100.00 ," 20,000.00 ",, 180.00 ," 36,000.00 ",, 135.00 ," 27,000.00 ",, 467.00 ," 93,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.00,,From Switchgear Panel 3 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-1                              
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-2                        
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-3                            
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-4                       
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-5                             
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.03.00,,From Switchgear Panel 4 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.03.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-6              
Approximate length: 20m",20,  ,  ,  ,  ,,,, 100.00 ," 2,000.00 ",, 180.00 ," 3,600.00 ",, 135.00 ," 2,700.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.07.00,,33kv Cable termination kits,1," 120,000.00 "," 120,000.00 "," 120,000.00 "," 120,000.00 ",,,," 30,000.00 "," 30,000.00 ",," 180,000.00 "," 180,000.00 ",," 30,000.00 "," 30,000.00 ",," 165,600.00 "," 165,600.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
08.08.00,,"EQUIPMENT TOOLS 

Tools, testing and maintenance equipment for all equipments, as fitted drawings, manuals etc. as required by the specification for :- 
a) Oil Distribution Transformer 
b) 33KV AIS
c) 33 kV high voltage cable 
e) DC Supply Unit
f) Earthing System
g) Manufacturer Work Tests, Erection and Test on Completion
h) Service and Maintenance
i) Training of Personnel",1,  ,  ,  ,  ,,,," 50,000.00 "," 50,000.00 ",," 150,000.00 "," 150,000.00 ",," 150,000.00 "," 150,000.00 ",," 17,250.00 "," 17,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.00.00,,33KV DISTRIBUTION TRANSFORMER,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.01.00,,"LABOUR for the unloading and installation of 33/0.433KV Cast Resin ANAF  (copper winding)
transformer as per drawing & specification.",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.01.01,,3500  KVA,2,  ,  ,  ,  ,,,," 5,000.00 "," 10,000.00 ",," 5,000.00 "," 10,000.00 ",," 12,000.00 "," 24,000.00 ",," 17,250.00 "," 34,500.00 ",,,,,,,
09.01.02,,2500  KVA,2,  ,  ,  ,  ,,,," 5,000.00 "," 10,000.00 ",," 4,000.00 "," 8,000.00 ",," 11,000.00 "," 22,000.00 ",," 17,250.00 "," 34,500.00 ",,,,,,,
09.01.02,,2000  KVA,2,  ,  ,  ,  ,,,," 5,000.00 "," 10,000.00 ",," 4,000.00 "," 8,000.00 ",," 10,000.00 "," 20,000.00 ",," 17,250.00 "," 34,500.00 ",,,,,,,
09.01.03,,1000  KVA,0,  ,  ,  ,  ,,,,, -   ,," 3,000.00 ", -   ,," 7,000.00 ", -   ,," 17,250.00 "," 17,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.02.00,,HT testing and commissioning (Site testing),1,  ,  ,  ,  ,,,," 12,000.00 "," 12,000.00 ",," 55,000.00 "," 55,000.00 ",," 7,000.00 "," 7,000.00 ",," 17,250.00 "," 17,250.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.03.00,,Submission to ST (Suruhanjaya Tenaga) c/w approval &  inspection fee & registration. Rate to include registration fees for two (2) years,1,  ,  ,  ,  ,,,," 10,000.00 "," 10,000.00 ",," 3,000.00 "," 3,000.00 ",," 15,000.00 "," 15,000.00 ",, -   , Included ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
09.04.00,,Supply and install frame and neutral earth system including copper tapes from TRANSFORMER to earth bar c/w necesssary accessories. (Earth bar by others),1,  ,  ,  ,  ,,,," 12,000.00 "," 12,000.00 ",," 9,000.00 "," 9,000.00 ",," 25,000.00 "," 25,000.00 ",, -   , Included ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.00.00,,LABOUR FOR THE UNLOADING AND INSTALLATION OF BUSDUCT/CABLE CONNECTION FROM TX TO MSB C/W NECESSARY ACCESSORIES FOR COMPLETION OF SYSTEM :-,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.01.00,,"3500A 4P TPN Aluminium Bus Duct (IP55) from TX1 to EMSB-ASRS           
Approx length: ",90,  ,  ,  ,  ,,,, 400.00 ," 36,000.00 ",, 400.00 ," 36,000.00 ",, 150.00 ," 13,500.00 ",, 460.00 ," 41,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.02.00,,"3500A 4P TPN Aluminium Bus Duct (IP55) from TX2 to EMSB-ASRS           
Approx length: ",90,  ,  ,  ,  ,,,, 400.00 ," 36,000.00 ",, 400.00 ," 36,000.00 ",, 150.00 ," 13,500.00 ",, 460.00 ," 41,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.03.00,,"5000A 4P TPN Aluminium Bus Duct (IP55) from TX3 to EMSB-COLDROOM            
Approx length: ",160,  ,  ,  ,  ,,,, 500.00 ," 80,000.00 ",, 550.00 ," 88,000.00 ",, 170.00 ," 27,200.00 ",, 575.00 ," 92,000.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.04.00,,"5000A 4P TPN Aluminium Bus Duct (IP55) from TX4 to EMSB-COLDROOM            
Approx length: ",160,  ,  ,  ,  ,,,, 500.00 ," 80,000.00 ",, 550.00 ," 88,000.00 ",, 170.00 ," 27,200.00 ",, 575.00 ," 92,000.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.05.00,,"3000A 4P TPN Aluminium Bus Duct (IP55) from TX5 to MSB-LANDLORD             
Approx length: m",90,  ,  ,  ,  ,,,, 400.00 ," 36,000.00 ",, 350.00 ," 31,500.00 ",, 150.00 ," 13,500.00 ",, 460.00 ," 41,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
10.05.00,,"3000A 4P TPN Aluminium Bus Duct (IP55) from TX6 to MSB-TENANT
Approx length: m",90,  ,  ,  ,  ,,,, 400.00 ," 36,000.00 ",, 350.00 ," 31,500.00 ",, 150.00 ," 13,500.00 ",, 460.00 ," 41,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,"Total 07.00.00 - 10.00.00 To Be Carried Forward
To Summary of Tender Prices",,," 332,680.00 ",," 341,780.00 ",,, -   ,," 1,112,576.00 ",,," 1,236,600.00 ",,," 650,300.00 ",,," 1,518,890.00 ",,, -   ,,, -   ,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.00.00,,STANDBY GENSET SYSTEM,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.00,,Supply and delivery of the following Standby Genset (Under Ramp),,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.01,,"To supply and deliver one unit 1250kVA Prime Rating generator set 415V, 3phase 50Hz c/w diesel engine, alternator, automatic voltage regulator, mounting vibrators, oil other associated accessories - ",4,  ,  ,  ,  ,,,," 510,000.00 "," 2,040,000.00 ",," 437,000.00 "," 1,748,000.00 ",," 472,500.00 "," 1,890,000.00 ",," 616,400.00 "," 2,465,600.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.02,,To supply Automatic Main Failure Board c/w synchronization feature and all other associated accessories as per drawing.,2,  ,  ,  ,  ,,,," 147,989.00 "," 295,978.00 ",," 407,800.00 "," 407,800.00 ",," 142,887.00 "," 285,774.00 ",," 279,698.00 "," 559,396.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.03,,"To supply 24V Heavy Duty Nickel Cadmium Battery c/w Battery Charger with Trickle Charge, Boost Change etc.",4,  ,  ,  ,  ,,,," 21,360.00 "," 85,440.00 ",," 21,200.00 "," 84,800.00 ",," 23,100.00 "," 92,400.00 ",," 23,575.00 "," 94,300.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.04,,To supply and deliver one set fuel tank  c/w level indicator and motorised electric pump with piping. Rate to include supply of diesel necessary to support full load operation for 8 hours.,4,  ,  ,  ,  ,,,," 42,900.00 "," 171,600.00 ",," 53,375.00 "," 213,500.00 ",," 60,900.00 "," 243,600.00 ",," 59,823.00 "," 239,292.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.05,,"To supply Acoustic Treatment for generator set plantroom c/w exhaust air silencer, acoustic door to DOE requirements and DOE approval.",1,  ,  ,  ,  ,,,," 220,000.00 "," 220,000.00 ",," 33,120.00 "," 33,120.00 ",," 130,200.00 "," 130,200.00 ",," 44,850.00 "," 179,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.01.06,,Factory Witness & Acceptance testing for min. 5 personnel. (Load test in Malaysia),1,  ,  ,  ,  ,,,," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 ",," 5,000.00 "," 5,000.00 ",, -   , Included ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.00,,Supply and delivery of the following Standby Genset (ROOF LEVEL),,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.01,,"To supply and deliver one unit 1750kVA Prime Rating generator set 415V, 3phase 50Hz c/w diesel engine, alternator, automatic voltage regulator, mounting vibrators, oil other associated accessories.",2,  ,  ,  ,  ,,,," 866,000.00 "," 1,732,000.00 ",," 897,000.00 "," 1,794,000.00 ",," 1,008,000.00 "," 2,016,000.00 ",," 948,750.00 "," 1,897,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.02,,To supply Automatic Main Failure Board c/w synchronization feature and all other associated accessories as per drawing.,1,  ,  ,  ,  ,,,," 147,989.00 "," 147,989.00 ",," 3,000.00 "," 3,000.00 ",," 208,500.00 "," 208,500.00 ",," 279,698.00 "," 279,698.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.03,,"To supply 24V Heavy Duty Nickel Cadmium Battery c/w Battery Charger with Trickle Charge, Boost Change etc.",2,  ,  ,  ,  ,,,," 26,400.00 "," 52,800.00 ",," 25,800.00 "," 51,600.00 ",," 27,300.00 "," 54,600.00 ",," 29,210.00 "," 58,420.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.04,,To supply and deliver one set fuel tank  c/w level indicator and motorised electric pump with piping. Rate to include supply of diesel necessary to support full load operation for 8hours.,2,  ,  ,  ,  ,,,," 64,900.00 "," 129,800.00 ",," 82,780.00 "," 165,560.00 ",," 86,800.00 "," 173,600.00 ",," 54,050.00 "," 108,100.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.05,,"To supply Acoustic Treatment for generator set plantroom c/w exhaust air silencer, acoustic door to DOE requirements and DOE approval.",1,  ,  ,  ,  ,,,," 124,000.00 "," 124,000.00 ",," 42,320.00 "," 42,320.00 ",," 105,000.00 "," 105,000.00 ",," 82,823.00 "," 165,646.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
11.02.06,,Factory Witness & Acceptance testing for min. 5 personnel. (Load test in Malaysia),1,  ,  ,  ,  ,,,," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 ",," 5,000.00 "," 5,000.00 ",, -   , Included ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,"Total 11.00.00 To Be Carried Forward
To Summary of Tender Prices",,, -   ,, -   ,,, -   ,," 5,019,607.00 ",,," 4,563,700.00 ",,," 5,209,674.00 ",,," 6,047,352.00 ",,, -   ,,, -   ,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.00.00,,STANDBY GENSET SYSTEM,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.00,,Standby Genset (Under Ramp),,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.01,,"LABOUR for the unloading and installation of one unit 1250kVA Prime Rating generator set 415V, 3phase 50Hz ",4,  ,  ,  ,  ,,,," 15,000.00 "," 60,000.00 ",,, By Others ,," 18,000.00 "," 72,000.00 ",," 18,492.00 "," 73,968.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.02,,LABOUR for the unloading and installation Automatic Main Failure Board and all other associated accessories as per drawing.,2,  ,  ,  ,  ,,,," 5,000.00 "," 10,000.00 ",," 1,500.00 "," 3,000.00 ",," 3,800.00 "," 7,600.00 ",," 5,750.00 "," 11,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.03,,LABOUR for the unloading and installation 24V Heavy Duty Nickel Cadmium Battery,4,  ,  ,  ,  ,,,," 2,000.00 "," 8,000.00 ",,, By Others ,," 1,000.00 "," 4,000.00 ",," 17,250.00 "," 69,000.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.04,,LABOUR for the unloading and installation one set fuel tank c/w spill containment RC Slab or G.I. Rate to include all connecting pipe work from fuel tank to gen-set and from fuel tank to intake.,4,  ,  ,  ,  ,,,," 5,000.00 "," 20,000.00 ",,, By Others ,," 8,000.00 "," 32,000.00 ",," 17,250.00 "," 69,000.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.05,,"LABOUR for the unloading and installation Acoustic Treatment for generator set plantroom c/w exhaust air silencer, acoustic door to DOE requirements and DOE approval.",1,  ,  ,  ,  ,,,," 48,000.00 "," 48,000.00 ",,, By Others ,," 28,000.00 "," 28,000.00 ",," 28,463.00 "," 56,926.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.06,,"To supply Rubber mat, signages to authorities requirement, standard accessories- tools kit, operation, maintenance and parts manual ",1,  ,  ,  ,  ,,,," 15,000.00 "," 15,000.00 ",," 3,000.00 "," 3,000.00 ",," 12,000.00 "," 12,000.00 ",," 20,700.00 "," 20,700.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.07,,Submission to ST c/w approval and inspection fee. Rate to include registration fees for two (2) years,1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",," 5,000.00 "," 5,000.00 ",," 10,000.00 "," 10,000.00 ",, -   , Included ,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.08,,Supply and install earth system including copper tapes from GENSET to earth bar c/w necesssary accessories. (Earth bar by others),1,  ,  ,  ,  ,,,," 30,000.00 "," 30,000.00 ",," 6,000.00 "," 6,000.00 ",," 24,000.00 "," 24,000.00 ",," 82,800.00 "," 82,800.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.01.09,,Testing and commissioning,1,  ,  ,  ,  ,,,," 20,000.00 "," 20,000.00 ",," 3,000.00 "," 3,000.00 ",," 12,000.00 "," 12,000.00 ",," 20,700.00 "," 20,700.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.00,,Standby Genset (ROOF LEVEL),,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.01,,"LABOUR for the unloading and installation of one unit 1750kVA Prime Rating generator set 415V, 3phase 50Hz",2,  ,  ,  ,  ,,,," 30,000.00 "," 60,000.00 ",,, By Others ,," 22,000.00 "," 44,000.00 ",," 17,250.00 "," 34,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
12.02.02,,LABOUR for the unloading and installation Automatic Main Failure Board and all other associated accessories as per drawing.,1,  ,  ,  ,  ,,,," 10,000.00 "," 10,000.00 ",," 1,500.00 "," 1,500.00 ",," 5,000.00 "," 5,000.00 ",," 5,750.00 "," 5,750.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
