,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
01.13.00,,Site clearing and cleanliness of site.,1," 14,100.00 "," 14,100.00 "," 14,100.00 "," 14,100.00 ",,,," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 ",," 12,000.00 "," 12,000.00 ",," 12,650.00 "," 12,650.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
 01.14.00 ,,Arrangement of worker COVID-19 test.,1," 14,100.00 "," 14,100.00 "," 14,100.00 "," 14,100.00 ",,,,, N/A ,," 10,000.00 "," 10,000.00 ",," 1,000.00 "," 1,000.00 ",," 18,975.00 "," 18,975.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR PRELIMINARIES (RM),,," 493,273.00 ",," 493,273.00 ",,, -   ,," 1,015,000.00 ",,," 450,000.00 ",,," 633,000.00 ",,," 870,417.00 ",,, -   ,,, -   ,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.00.00,,"33KV HT SYSTEM

To supply and deliver 33kV 630A VCB panel double busbar type c/w motorised circuit breaker assembly, CASTEL KEY, protection & measuring current transformer, voltage transformer, earthing switches, indication light, power meter, ammeter, local control ON/OFF & necessary accessories required for operation (as per drawing & specification).",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.01.00,,33kV Consumer Switchgear Panel 1 Landlord 33kV as  per drawing & specification located in Consumer Room,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.01.01,,Incoming Feeder,1," 294,000.00 "," 294,000.00 "," 294,000.00 "," 294,000.00 ",,,," 262,944.00 "," 262,944.00 ",," 332,750.00 "," 332,750.00 ",," 263,000.00 "," 263,000.00 ",," 224,250.00 "," 224,250.00 ",,,,,,,
02.01.02,,Outgoing Feeder,1," 220,500.00 "," 220,500.00 "," 220,500.00 "," 220,500.00 ",,,," 195,371.00 "," 195,371.00 ",," 252,250.00 "," 252,250.00 ",," 197,000.00 "," 197,000.00 ",," 179,400.00 "," 179,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.02.00,,33kV Consumer Switchgear Panel 2 Tenant 33kV  as  per drawing & specification  located in Consumer Room,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.02.01,,Incoming Feeder,1," 341,250.00 "," 341,250.00 "," 341,250.00 "," 341,250.00 ",,,," 311,498.00 "," 311,498.00 ",," 378,750.00 "," 378,750.00 ",," 313,000.00 "," 313,000.00 ",," 224,250.00 "," 224,250.00 ",,,,,,,
02.02.02,,Outgoing Feeder ,1," 225,750.00 "," 225,750.00 "," 225,750.00 "," 225,750.00 ",,,," 204,105.00 "," 204,105.00 ",," 252,250.00 "," 252,250.00 ",," 206,000.00 "," 206,000.00 ",," 179,400.00 "," 179,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.03.00,,33kV Consumer Switchgear Panel 3 Landlord 33kV  as  per drawing & specification  located under ramp,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.03.01,,Incoming Feeder,1," 267,750.00 "," 267,750.00 "," 267,750.00 "," 267,750.00 ",,,," 243,342.00 "," 243,342.00 ",," 298,250.00 "," 298,250.00 ",," 267,542.00 "," 267,542.00 ",," 212,750.00 "," 212,750.00 ",,,,,,,
02.03.02,,Outgoing Feeder (Include spare),7," 288,750.00 "," 2,021,250.00 "," 288,750.00 "," 2,021,250.00 ",,,," 262,163.00 "," 1,835,141.00 ",," 321,250.00 "," 2,248,750.00 ",," 262,163.00 "," 1,835,141.00 ",," 173,650.00 "," 1,215,550.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.04.00,,33kV Consumer Switchgear Panel 4 Tenant 33kV  as  per drawing & specification located under ramp,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.04.01,,Incoming Feeder,1," 273,000.00 "," 273,000.00 "," 273,000.00 "," 273,000.00 ",,,," 248,358.00 "," 248,358.00 ",," 304,000.00 "," 304,000.00 ",," 273,194.00 "," 273,194.00 ",," 212,750.00 "," 212,750.00 ",,,,,,,
02.04.02,,Outgoing Feeder,1," 288,750.00 "," 288,750.00 "," 288,750.00 "," 288,750.00 ",,,," 262,163.00 "," 262,163.00 ",," 321,250.00 "," 321,250.00 ",," 262,163.00 "," 262,163.00 ",," 167,900.00 "," 167,900.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
02.05.00,,Factory Witness & Acceptance testing for min. 5 personnel for all necessary equipment. (in Malaysia),1," 25,000.00 "," 25,000.00 "," 25,000.00 "," 25,000.00 ",,,," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 ",," 3,000.00 "," 3,000.00 ",," 37,375.00 "," 37,375.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.00.00,,"HT CABLING

To supply and deliver submain cabling inclusive of earth continuity conductors as per specification and drawings.",,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.01.00,,From TNB SSU to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.01.01,,1x3C 300mm XLPE/SWA/PVC 33kV AL Cable (TNB Spec) to Switchgear Panel 1                         Approximate length: 50m,50,  ,  , 230.00 ," 11,500.00 ",,,, 263.00 ," 13,150.00 ",,," 35,087.50 ",, 270.00 ," 13,500.00 ",, 467.00 ," 23,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.01.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable (TNB Spec) to Switchgear Panel 2     
Approximate length: 50m",50, 229.30 ," 11,464.93 ", 230.00 ," 11,500.00 ",,,, 263.00 ," 13,150.00 ",,," 35,087.50 ",, 270.00 ," 13,500.00 ",, 467.00 ," 23,350.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.00,,From Switchgear Panel 1 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to Switchgear Panel 3                        
Approximate length: 200m",200, 229.30 ," 45,859.70 ", 230.00 ," 46,000.00 ",,,, 263.00 ," 52,600.00 ",,," 95,350.00 ",, 270.00 ," 54,000.00 ",, 467.00 ," 93,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.00,,From Switchgear Panel 2 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to Switchgear Panel 4                        
Approximate length: 200m",200, 229.30 ," 45,859.70 ", 230.00 ," 46,000.00 ",,,, 263.00 ," 52,600.00 ",,," 95,350.00 ",, 270.00 ," 54,000.00 ",, 467.00 ," 93,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.00,,From Switchgear Panel 3 to,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-1                              
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-2                        
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.01,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-3                            
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
03.02.02,,"1x3C 300mm XLPE/SWA/PVC 33kV AL Cable to TX-4                       
Approximate length: 20m",20, 229.30 ," 4,585.97 ", 230.00 ," 4,600.00 ",,,, 263.00 ," 5,260.00 ",,," 23,035.00 ",, 270.00 ," 5,400.00 ",, 467.00 ," 9,340.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
