ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
,,,,,,,,,,,,,,,,,,,,,,,,,
02.00.00,,"TELECOMMUNICATION SERVICES .
To supply & install Telecommunication  system c/w necessary ancillary civil works including excavation of earth, backfilling, compaction and to reinstate to road finish level as per S.O direction. The contractor shall have TM registration and comply to TM specification.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.00,,External Telephone Infrastructure - From limit of works to MDF,,,,,,,,,,,,, Telekom Incoming Provisional as there is No drawings' ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.01,,JC9C Manhole,,No,2,, -   ,100%, -   , -   ," 4,565.70 "," 9,131.40 ",," 5,000.00 "," 10,000.00 ",," 5,500.00 "," 11,000.00 ",," 4,000.00 "," 8,000.00 ",," 6,000.00 "," 12,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.02,,"To supply and install 4 way 100mm dia PVC UPVC underground duct encased in concrete (To Telekom Malaysia approval)
Approx Length: 120m",,Lot,1,, -   ,100%, -   , -   ," 13,369.50 "," 13,369.50 ",," 24,000.00 "," 24,000.00 ", 200/M ," 9,600.00 "," 9,600.00 ", 80/M ," 10,400.00 "," 10,400.00 ",," 23,400.00 "," 23,400.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.03,,To supply and install 4 way 100mm dia GI Pipe (For road and drainage crossing),,M,Rate Only,, Rate Only ,,, Rate Only , 396.50 , Rate Only ,, 800.00 , Rate Only ,,, Rate Only ,, 800.00 , Rate Only ,,, Rate Only ,
,,,,,,,,,,,,,,,,,,,,,,,,,
