ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
03.02.01,,Workstation computer c/w  card access Management System Software and all other accessories (Located at Control Room),,Lot,1,, -   ,100%, -   , -   ," 4,999.20 "," 4,999.20 ",," 4,600.00 "," 4,600.00 ",," 15,000.00 "," 15,000.00 ",," 21,427.00 "," 21,427.00 ",," 6,000.00 "," 6,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.02,,Dual band cards (UHF & Mifare).,,No,200,, -   ,100%, -   , -   , 5.40 ," 1,080.00 ",, 22.00 ," 4,400.00 ",, 10.00 ," 2,000.00 ",, 10.00 ," 2,000.00 ",, 25.00 ," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.03,,3.5m Aluminium straight arm vehicle barrier boom gate,,Lot,Rate only,, Rate only ,,, Rate only ," 2,801.90 ", Rate only ,," 3,800.00 ", Rate only ,,, Rate only ,," 3,500.00 ", Rate only ,,, Rate only ,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.04,,5m Aluminium straight arm vehicle barrier boom gate,,Lot,2,, -   ,100%, -   , -   ," 3,001.90 "," 6,003.80 ",," 4,400.00 "," 8,800.00 ",," 6,000.00 "," 12,000.00 ",," 4,000.00 "," 8,000.00 ",," 10,000.00 "," 20,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.05,,Data switch (Guard house 1  & guard house 2),,Lot,2,, -   ,100%, -   , -   ," 2,667.20 "," 5,334.40 ",," 2,400.00 "," 4,800.00 ",," 1,500.00 "," 3,000.00 ",," 6,749.00 "," 13,498.00 ",," 8,000.00 "," 16,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.06,,"Controller c/w intercom, power supply, back up battery, power and data surge arrestor and signal cablings for vehicle access boom gate system from switch to controller, from controller to barrier gate, reader and push button in trunking/G.I  conduit/GI  Duct/Concealed  PVC conduit, termination and etc to complete installation.",,Lot,2,, -   ,100%, -   , -   ," 2,077.40 "," 4,154.80 ",," 12,000.00 "," 24,000.00 ",," 1,500.00 "," 3,000.00 ",," 4,120.00 "," 8,240.00 ",," 5,500.00 "," 11,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.07,,Manual Push Button.,,Lot,2,, -   ,100%, -   , -   , 296.50 , 593.00 ,, 140.00 , 280.00 ,, 300.00 , 600.00 ,, 160.00 , 320.00 ,, 60.00 , 120.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.08,,Long range Access Reader (min 5m range) c/w all necessary accessories.,,Lot,2,, -   ,100%, -   , -   ," 2,992.30 "," 5,984.60 ",," 2,900.00 "," 5,800.00 ",," 3,500.00 "," 7,000.00 ",," 2,640.00 "," 5,280.00 ",," 4,000.00 "," 8,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.09,,Vehicle double loop detector on driveway at  barrier gate and connection to barrier gate c/w road cutting and make good,,Lot,2,, -   ,100%, -   , -   , 801.50 ," 1,603.00 ",, 800.00 ," 1,600.00 ",," 2,000.00 "," 4,000.00 ",, 520.00 ," 1,040.00 ",, 500.00 ," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.10,,To supply and install complete earthing system for Barrier gate system and other necessary accessories.,,Lot,1,, -   ,100%, -   , -   ," 1,412.60 "," 1,412.60 ",," 2,000.00 "," 2,000.00 ",," 1,500.00 "," 1,500.00 ",," 1,000.00 "," 1,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.11,,Testing & Commissioning of the whole Barrier gate system,,Lot,1,, -   ,100%, -   , -   ," 1,223.30 "," 1,223.30 ",," 3,000.00 "," 3,000.00 ",," 2,000.00 "," 2,000.00 ",," 4,000.00 "," 4,000.00 ",," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.00,,"Supply, delivery, install, testing and commissioning of Security Card Access System Equipment c/w all necessary accessories for complete installation in accordance with specification and drawings.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.01,,Supply and install CAT6 cable in concealed uPVC conduit (c/w fiber mesh wrap) from core switch to control panel  for card access c/w termination and all necessary accessories.,,Lot,115,, -   ,100%, -   , -   , 500.40 ," 57,546.00 ",, 600.00 ," 69,000.00 ",, 500.00 ," 57,500.00 ",, 400.00 ," 46,000.00 ",, 400.00 ," 46,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.02,,"Supply and install door controller c/w fire alarm input, mounting bracket and all necessary accessories.",,Lot,115,, -   ,100%, -   , -   , 841.10 ," 96,726.50 ",," 1,800.00 "," 207,000.00 ",," 1,050.00 "," 120,750.00 ",," 1,200.00 "," 138,000.00 ",," 1,400.00 "," 161,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.03,,Supply and install short range card reader c/w biometric and passcode feature at door entrance.                                                                                                                                ,,No,115,, -   ,100%, -   , -   , 247.80 ," 28,497.00 ",," 1,200.00 "," 138,000.00 ",, 500.00 ," 57,500.00 ",,, included in item 3.01 ,, 300.00 ," 34,500.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.04,,Supply and install touchless exit button at door exit.,,No,115,, -   ,100%, -   , -   , 200.20 ," 23,023.00 ",, 280.00 ," 32,200.00 ",, 30.00 ," 3,450.00 ",, 191.00 ," 21,965.00 ",, 80.00 ," 9,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.05,,Supply and install electromagnet lock c/w magnetic contact.,,Lot,115,, -   ,100%, -   , -   , 191.50 ," 22,022.50 ",, 180.00 ," 20,700.00 ",, 150.00 ," 17,250.00 ",, 160.00 ," 18,400.00 ",, 300.00 ," 34,500.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.06,,Supply and install emergency break glass and keyswitch.,,No,115,, -   ,100%, -   , -   , 354.70 ," 40,790.50 ",, 100.00 ," 11,500.00 ",, 35.00 ," 4,025.00 ",, 100.00 ," 11,500.00 ",, 140.00 ," 16,100.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.07,,"Supply and install all cabling in uPVC conduit (c/w fiber mesh wrap) from control panel to card reader, push button, emergency break glass, keyswitch and electromagnet lock.",,Lot,115,, -   ,100%, -   , -   , 101.10 ," 11,626.50 ",, 500.00 ," 57,500.00 ",, 250.00 ," 28,750.00 ",, 400.00 ," 46,000.00 ",," 1,600.00 "," 184,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.08,,"To supply and install master computer set for card access control system at management office c/w desktop, monitor, keyboard and surge protector in management office.",,Lot,1,, -   ,100%, -   , -   ," 19,405.30 "," 19,405.30 ",," 5,900.00 "," 5,900.00 ",," 20,000.00 "," 20,000.00 ",," 6,400.00 "," 6,400.00 ",," 18,000.00 "," 18,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.09,,To supply and install CAT6 cable from 48 port switch to card access computer at Management Office in concealed upvc conduit c/w termination.,,Lot,1,, -   ,100%, -   , -   , 801.30 , 801.30 ,," 2,000.00 "," 2,000.00 ",, 500.00 , 500.00 ,, 800.00 , 800.00 ,," 1,200.00 "," 1,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.10,,Supply and install UPS for backup power 1 hours to 48 port card access switch and PC.,,Lot,1,, -   ,100%, -   , -   ," 5,555.50 "," 5,555.50 ",," 6,000.00 "," 6,000.00 ",," 12,000.00 "," 12,000.00 ",," 6,000.00 "," 6,000.00 ",,, -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.11,,Testing and commissioning of the above system.,,Lot,1,, -   ,100%, -   , -   ," 3,669.90 "," 3,669.90 ",," 7,500.00 "," 7,500.00 ",," 25,000.00 "," 25,000.00 ",," 6,000.00 "," 6,000.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.04.00,,"Price for any other items not mentioned in the above items but shown in the drawings or described in the specification or obviously deemed necessary for complete installation, satisfactory and efficient operation and maintenance for Telecommunication Services to authorities approval and good engineering practice. If no details are to be given below, it is deemed that the tenderer has allowed and captured the above items in the tender prices.",,,,,,,,,,,,,,,,,,,,,,,
,,24port/8 port poe smart manage switch for cctv and card access controller at riser (ACMALITE),,nos,13,,,,,,,,,,,,,,," 1,476.00 "," 19,188.00 ",,,,
,,APC  12HU wall mount rack (ACMALITE),,nos,13,,,,,,,,,,,,,,," 5,273.00 "," 68,549.00 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total 03.00.00 To Be Carried Forward
To Summary of Tender Prices",,,,, -   ,,, -   ,," 947,132.50 ",,," 1,084,060.00 ",,," 776,875.00 ",,," 754,284.00 ",,," 2,127,220.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.00.00,,ASRS SERVER ROOM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.00,,ELV Installation @ ASRS Area,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.01,,"To supply and install UTP Cat 6A 4P cable inclusive of cable containment, G.I. conduit, brackets, accessories, cable marking and termination from individual point (ASRS crane panel location) to the nearest server rack : -",,Lot,112,, -   ,100%, -   , -   , 622.20 ," 69,686.40 ",, 850.00 ," 95,200.00 ",," 1,000.00 "," 112,000.00 ",, 760.00 ," 85,120.00 ",," 1,200.00 "," 134,400.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.00,,"To supply and install 8C SM LSFH fibre optic cable inclusive of cable containment, accessories, cable marking and termination.",,,,,,,,,,,,,,,,,, 24.00 , nil ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.01,,Ground Floor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.01.01,,From GF-A server rack to GF-B server rack using 2 x 8C SM LSFH fibre optic cable.,,m,35,, -   ,100%, -   , -   , 109.40 ," 3,829.00 ",, 42.00 ," 1,680.00 ", 40M , 60.00 ," 2,100.00 ",, 28.00 , 980.00 ,, 120.00 ," 4,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.01.02,,From GF-A server rack to Secondary server room using 2 x 8C SM LSFH fibre optic cable.,,m,50,, -   ,100%, -   , -   , 109.40 ," 5,470.00 ",, 42.00 ," 5,040.00 ", 120M , 60.00 ," 3,000.00 ",, 28.00 ," 1,400.00 ",, 120.00 ," 6,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.01.03,,From GF-B server rack to Main server room using 2 x 8C SM LSFH fibre optic cable.,,m,42,, -   ,100%, -   , -   , 109.40 ," 4,594.80 ",, 42.00 ," 5,040.00 ", 120M , 60.00 ," 2,520.00 ",, 28.00 ," 1,176.00 ",, 120.00 ," 5,040.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.02,,1F,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.02.01,,From 1F-A server rack to 1F-B server rack using 2 x 8C SM LSFH fibre optic cable.,,m,35,, -   ,100%, -   , -   , 109.40 ," 3,829.00 ",, 42.00 ," 1,680.00 ", 40M , 60.00 ," 2,100.00 ",, 28.00 , 980.00 ,, 120.00 ," 4,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.02.02,,From 1F-A server rack to Secondary server room using 2 x 8C SM LSFH fibre optic cable.,,m,38,, -   ,100%, -   , -   , 109.40 ," 4,157.20 ",, 42.00 ," 5,670.00 ", 135M , 60.00 ," 2,280.00 ",, 28.00 ," 1,064.00 ",, 120.00 ," 4,560.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.02.03,,From 1F-B server rack to Main server room using 2 x 8C SM LSFH fibre optic cable.,,m,31,, -   ,100%, -   , -   , 109.40 ," 3,391.40 ",, 42.00 ," 5,670.00 ", 135M , 60.00 ," 1,860.00 ",, 28.00 , 868.00 ,, 120.00 ," 3,720.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.03,,2F,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.03.01,,From 2F-A server rack to 2F-B server rack using 2 x 8C SM LSFH fibre optic cable.,,m,35,, -   ,100%, -   , -   , 109.40 ," 3,829.00 ",, 42.00 ," 1,680.00 ", 40M , 60.00 ," 2,100.00 ",, 28.00 , 980.00 ,, 120.00 ," 4,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.03.02,,From 2F-A server rack to Secondary server room using 2 x 8C SM LSFH fibre optic cable.,,m,50,, -   ,100%, -   , -   , 109.40 ," 5,470.00 ",, 42.00 ," 6,300.00 ", 150M , 60.00 ," 3,000.00 ",, 28.00 ," 1,400.00 ",, 120.00 ," 6,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.03.03,,From 2F-B server rack to Main server room using 2 x 8C SM LSFH fibre optic cable.,,m,42,, -   ,100%, -   , -   , 109.40 ," 4,594.80 ",, 42.00 ," 6,300.00 ", 150M , 60.00 ," 2,520.00 ",, 28.00 ," 1,176.00 ",, 120.00 ," 5,040.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.04,,3F,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.04.01,,From 3F-A server rack to 3F-B server rack using 2 x 8C SM LSFH fibre optic cable.,,m,35,, -   ,100%, -   , -   , 109.40 ," 3,829.00 ",, 42.00 ," 1,680.00 ", 40M , 60.00 ," 2,100.00 ",, 28.00 , 980.00 ,, 120.00 ," 4,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.04.02,,From 2F-A server rack to OLDF-048 server room using 2 x 8C SM LSFH fibre optic cable.,,m,61,, -   ,100%, -   , -   , 109.40 ," 6,673.40 ",, 42.00 ," 6,930.00 ", 165M , 60.00 ," 3,660.00 ",, 28.00 ," 1,708.00 ",, 120.00 ," 7,320.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.04.03,,From 2F-B server rack to OLDF-3 ASRS server room using 2 x 8C SM LSFH fibre optic cable.,,m,53,, -   ,100%, -   , -   , 109.40 ," 5,798.20 ",, 42.00 ," 6,930.00 ", 165M , 60.00 ," 3,180.00 ",, 28.00 ," 1,484.00 ",, 120.00 ," 6,360.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.00,,To supply and install 23' EIA/TIA 42U server rack include all necessary accessories and termination.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.01,,"ASRS main server room, equipment rack c/w face plates, power supplies (2 x 8 way SSO) and mounting hardware.",,Lot,6,, -   ,100%, -   , -   ," 12,596.10 "," 75,576.60 ",," 5,100.00 "," 30,600.00 ",," 20,000.00 "," 120,000.00 ",," 9,787.00 "," 58,722.00 ",," 12,000.00 "," 72,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.02,,"ASRS secondary server room, equipment rack c/w face plates, power supplies (8 way SSO) and mounting hardware.",,Lot,6,, -   ,100%, -   , -   ," 2,851.50 "," 17,109.00 ",," 4,800.00 "," 28,800.00 ",," 20,000.00 "," 120,000.00 ",," 9,787.00 "," 58,722.00 ",," 12,000.00 "," 72,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.04.00,,"Testing and commissioning inclusive of installaiton certification, training to maintenance staff, as-built drawings and O&M.",,Lot,1,, -   ,100%, -   , -   ," 3,669.90 "," 3,669.90 ",," 20,000.00 "," 20,000.00 ",," 10,000.00 "," 10,000.00 ",," 4,000.00 "," 4,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
04.05.00,,"Price for any other items not mentioned in the above items but shown in the drawings or described in the specification or obviously deemed necessary for complete installation, satisfactory and efficient operation and maintenance for Telecommunication Services to authorities approval and good engineering practice. If no details are to be given below, it is deemed that the tenderer has allowed and captured the above items in the tender prices.",,,,,,,,,,,,,,,,,,,,,,,
,,15U wall Mounted Racks (NSI),,nos,33,,,,,,,,," 1,400.00 "," 46,200.00 ",,,,,,,,,,
,,2x8c fiber to 15U racks (NSI),,m,33,,,,,,,,," 5,000.00 "," 165,000.00 ",,,,,,,,,,
,,"Fber Trays, Connectors, splicing & accessories (NSI)",,lot,33,,,,,,,,," 1,700.00 "," 56,100.00 ",,,,,,,,,,
,,ALL UPS for ASRS server rooms By Others (NSI),,,,,,,,,,,,,,,,,,,,,,,
,,5KVA UPS at server rack at server rooms (ACMALITE),,lot,12,,,,,,,,,,,,,,," 15,780.00 "," 189,360.00 ",,,,
,,"Wall mount 12U equipment rack c/w face plates, power supplies (8 way SSO) and mounting hardware. (ACMALITE)",,Lot,8,,,,,,,,,,,,,,," 5,273.00 "," 42,184.00 ",,,,
,,36 port fiber patch panel & cat6 patch panel & patch cord at wall mount  rack (ACMALITE),,Lot,8,,,,,,,,,,,,,,," 4,277.00 "," 34,216.00 ",,,,
,,1kva UPS at wall mount rack (ACMALITE),,Lot,8,,,,,,,,,,,,,,," 1,733.00 "," 13,864.00 ",,,,
,,"ICT room A and B  room, equipment rack c/w face plates, power supplies (8 way SSO) and mounting hardware. (BASTION)",,Lot,8,,,,,,,,,,,,,,,,,," 10,000.00 "," 80,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total 04.00.00 To Be Carried Forward
To Summary of Tender Prices",,,,, -   ,,, -   ,," 221,507.70 ",,," 496,500.00 ",,," 392,420.00 ",,," 500,384.00 ",,," 420,240.00 ",
,,GRAND TOTAL (RM),,,,, -   ,,, -   ,," 1,488,945.84 ",,," 1,879,080.00 ",,," 1,416,195.00 ",,," 1,535,711.00 ",,," 2,789,370.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
