ALP2 - FIRE - BOQ,,,,,,,,,,,,,
,,,,,,,,1,,,2,,
,,,,,,,, FITTERS ,,, ASIAMOST ,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , AMOUNT  , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
02.01.02,,"TO SUPPLY AND INSTALL fire sprinkler water tank accessories, ball float valve, black steel 'B' balancing pipe header, stainless steel level electrodes, overflow pipes to the nearest drain, warning pipe, scour pipe to nearest drain, vortex inhibitor, base skid, pipe painting, pipe marking and all associated accessories for complete installation works.",,Lot,1,,,," 24,062.00 ",,,Inclusive,
,,,,,,,,,,,,,
02.01.03,,"BREECHING INLET

TO SUPPLY AND INSTALL 4-way breenching inlet c/w cabinet, painting, hangers and supports and other necessary accessories.",,Lot,1,,,," 1,436.00 ",," 1,520.00 "," 1,520.00 ",
,,,,,,,,,,,,,
02.01.04,,"TO SUPPLY AND DELIVER above ground D.I. 'K9' pipes from external underground water reticulation pipe provision to two fire sprinkler tanks (2 compartments) and one hosereel tank above ground.
? 150mmÿ",,Lot,1,,,," 10,115.00 ",," 29,020.00 "," 29,020.00 ",
,,,,,,,,,,,,,
02.01.05,,"TO INSTALL above ground D.I. 'K9' pipes from external underground water reticulation pipe provision to two fire sprinkler tanks (2 compartments) and one hosereel tank above ground.
? 150mmÿ ",,Lot,1,,,," 7,409.00 ",,,Inclusive,
,,,,,,,,,,,,,
02.02.00,,SPRINKLER PUMPSET,,,,,,,,,,,
,,,,,,,,,,,,,
02.02.01,,"TO SUPPLY AND DELIVER Bomba approved duty and standby diesel engine fire sprinkler water pumpset c/w pipe mechanical coupling, control panel including panel and power and control wiring from such panel to pump, pressure sensor, pressure relief valves, overheating protection system, diesel engine, radiator, exhaust, silencer, battery, flow meter, diesel fuel tanks with legs, starters, drain outlet, shaft and all necessary accessories that required for complete and satisfactory functioning of the pump. Pump performance selection in compliance with BS EN 12845. The pump, engine and control panel shall come in as common skid. The engine local panel shall be pre-wired with the control panel in a skid form. Maximum close off pressure shall be 12 bar. (The rc plinth will be supplied by Builder).",,,,,,,,,,,
,,"Sprinkler Pumpset (Bomba Approved Pump)
Horizontal Split Case
Duty (electric ) and Standby (diesel)
- 9468 l/min @ 11+0.5 bar (5700 l/m @ 8.5 bar)

Note:
Maximum Flow : Not Less than 140% of Design Flow.
Pump Head at Maximum Flow : Not Less than 70% of Design Pump Head
Maximum Close off Pressure : 12 Bar",,no,2,,,," 821,250.00 ",," 1,167,660.00 "," 2,335,320.00 ",
02.02.02,,"TO INSTALL Bomba approved duty and standby diesel engine fire sprinkler water pumpset c/w all necessary pipe work, fittings, pipe mechanical coupling, control panel including panel and power and control wiring from such panel to pump, pressure sensor, pressure relief valves, overheating protection system, diesel engine, radiator, exhaust, silencer, battery, flow meter, diesel fuel tanks with legs, starters, drain outlet, shaft and all necessary accessories that required for complete and satisfactory functioning of the pump. Pump performance selection in compliance with BS EN 12845. The pump, engine and control panel shall come in as common skid. The engine local panel shall be pre-wired with the control panel in a skid form. Maximum close off pressure shall be 12 bar. (The rc plinth will be supplied by Builder).",,Lot,2,,,," 12,500.00 ",,,Inclusive,
,,,,,,,,,,,,,
02.02.03,,"TO SUPPLY AND DELIVER Bomba approved jockey fire sprinkler water pumpset c/w electric motor, UL FM listed control panel. The engine local panel shall be pre-wired with the control panel in a skid form.",,,,,,,,,,,
,,"Sprinkler Pumpset (Bomba Approved Pump)
Vertical In Line
Jockey electric 
150 l/min @ 12 bar (120 l/m @ 11.5 bar)",,no,1,,,," 11,938.00 ",,,Inclusive,
