ALP2-BMS-BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
1.17,,Provide two (2) classroom training sessions for each equipment for personnel designated by the Owner,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",, Include , Include ,," 2,000.00 "," 2,000.00 ",,, Included ,,, included ,, Included , Included ,, 600.00 , 600.00 ,
1.18,,To provide test script and documentation for testing and commissioning of BMS system,,Lot,1,, -   ,100%, -   , -   ," 12,000.00 "," 12,000.00 ",," 5,000.00 "," 5,000.00 ",," 1,000.00 "," 1,000.00 ",,, TBC ,,, included ,, Included , Included ,," 1,000.00 "," 1,000.00 ",
1.19,,"Make good all opening through wall/floors/beams with approved material, fire seals if necessary and method to be level sufficient for painting. Painting by others. Fire seal to be c/w Bomba certificate",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, By Others , By Others ,,, inclusive ,,, Excluded ,,, included ,, Included , Included ,," 3,000.00 "," 3,000.00 ",
1.20,,Supply & install earthing on all steel pipes and equipment,,,,,,,,,,,,,,,,,,, Excluded ,,, included ,, Included , Included ,,,,
1.21,,Water and electricity consumption throughout the project inclusive of testing and commissioning of the system,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, By Others , By Others ,,, inclusive ,,, Excluded ,,, included ,, Included , Included ,," 2,000.00 "," 2,000.00 ",
1.22,,Painting and labelling and all identification work,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, Include , Include ,,, inclusive ,,, Included ,,, included ,, Included , Included ,," 2,000.00 "," 2,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 1.0 PRELIMINARIES (RM),,,,, -   ,,, -   ,," 211,000.00 ",,," 39,000.00 ",,," 11,000.00 ",,," 828,500.00 ",,, -   ,,," 170,500.00 ",,," 190,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BUILDING MANAGEMENT SYSTEM (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Design, supply, delivery, installation, testing and commissioning of the followings inclusive of all necessary accessories for the complete installation as per drawings and/or specifications:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00,,"BMS Workstation & Servers:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.01,,"Supply and install Operator Workststion (OWS) as per Technical Specification or latest. BMS workstations complete with 30"" LCD monitor and all necessary software & hardware for the monitoring of the building. Workstation is to be located in the Control Room on the Ground Floor of the building.",,Lot,1,, -   ,100%, -   , -   ," 7,500.00 "," 7,500.00 ",," 10,000.00 "," 10,000.00 ",,, -   ,,, Included ,," 12,000.00 "," 12,000.00 ",,, -   ,," 6,000.00 "," 6,000.00 ",
2.02,,Supply and install table and swivel chair for BMS workstation.,,Lot,1,, -   ,100%, -   , -   ," 4,000.00 "," 4,000.00 ",, By Client  , By Client  ,," 8,000.00 "," 8,000.00 ",,, Included ,, -   , included ,," 4,000.00 "," 4,000.00 ",," 1,800.00 "," 1,800.00 ",
2.03,,Supply and install UPS for BMS workstation. The UPS shall support 100% load of workstation and backup time shall be no less than 15 minutes.,,Lot,1,, -   ,100%, -   , -   ," 1,900.00 "," 1,900.00 ",," 3,000.00 "," 3,000.00 ",," 1,500.00 "," 1,500.00 ",,, Included ,," 18,500.00 "," 18,500.00 ",," 1,500.00 "," 1,500.00 ",," 3,200.00 "," 3,200.00 ",
2.04,,"Supply and install laser printer for report, event and alarm printing. ",,Lot,1,, -   ,100%, -   , -   ," 4,000.00 "," 4,000.00 ",," 2,300.00 "," 2,300.00 ",," 3,500.00 "," 3,500.00 ",,, Included ,," 2,160.00 "," 2,160.00 ",," 2,500.00 "," 2,500.00 ",," 2,000.00 "," 2,000.00 ",
2.05,,Supply and install hardware & software to enable BMS to be accessed from any computer on the Intranet or Internet using only Windows Internet Explorer.,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, By Client  , By Client  ,, inclusive , inclusive ,,, Included ,, -   , included ,," 10,000.00 "," 10,000.00 ",," 1,200.00 "," 1,200.00 ",
2.06,,Supply and install hardware & software (Server) to complete the BMS system. To ensure sufficient data storage for 3 months. Server shall be located within the BMS/ELV riser on the ground floor,,Lot,1,, -   ,100%, -   , -   ," 14,000.00 "," 14,000.00 ",, include , include ,," 12,000.00 "," 12,000.00 ",,, Included ,," 25,400.00 "," 25,400.00 ",," 50,000.00 "," 50,000.00 ",," 9,000.00 "," 9,000.00 ",
2.07,,Supply and install server rack to house BMS servers and in-rack UPS.,,Lot,1,, -   ,100%, -   , -   ," 9,200.00 "," 9,200.00 ",," 5,000.00 "," 5,000.00 ",," 2,000.00 "," 2,000.00 ",,, Included ,," 4,800.00 "," 4,800.00 ",," 3,500.00 "," 3,500.00 ",," 3,200.00 "," 3,200.00 ",
2.08,,Supply and install in-rack UPS to support 100% load of BMS server. The backup time shall be no less than 15 minutes.,,Lot,1,, -   ,100%, -   , -   ," 12,000.00 "," 12,000.00 ",," 3,000.00 "," 3,000.00 ",," 1,800.00 "," 1,800.00 ",,, Included ,," 18,500.00 "," 18,500.00 ",," 2,000.00 "," 2,000.00 ",," 3,800.00 "," 3,800.00 ",
2.09,,Supply and install core switch necessary for BMS system.,,Lot,1,, -   ,100%, -   , -   ," 4,500.00 "," 4,500.00 ",," 3,500.00 "," 3,500.00 ",," 2,000.00 "," 2,000.00 ",,, Included ,," 2,650.00 "," 2,650.00 ",," 25,000.00 "," 25,000.00 ",," 8,000.00 "," 8,000.00 ",
2.10,,Supply and install firewall for external connections,,Lot,1,, -   ,100%, -   , -   ," 8,000.00 "," 8,000.00 ",, By Client  , By Client  ,, inclusive , inclusive ,,, Included ,," 12,100.00 "," 12,100.00 ",," 25,000.00 "," 25,000.00 ",," 1,800.00 "," 1,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 2.0 BMS WORKSTATION & SERVERS (RM),,,,, -   ,,, -   ,," 65,100.00 ",,," 26,800.00 ",,," 30,800.00 ",,," 581,509.00 ",,," 96,110.00 ",,," 123,500.00 ",,," 40,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
