ALP2 - CWSP - BOQ,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, HENG JHOE ,,, MULTIAMPLE ,,, ARTISAN ,,, POWERSHOT ,,, YEO PLUMBER ,,, ECO WEEFA ,,
ITEM,,DESCRIPTION,,UNIT,QTY,RATE ,AMOUNT ,,RATE ,AMOUNT ,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK,RATE ,AMOUNT ,REMARK
,,Total 01.00.00 To Be Carried Forward To Summary of Tender Prices,,,,, -   ,,, -   ,," 124,000.00 ",,," 93,000.00 ",,," 70,000.00 ",,," 185,000.00 ",,, -   ,,," 327,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.00.00,,COLD AND RAIN WATER PLUMBING SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.00,,COLD WATER GROUND STORAGE TANK,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.01,,"TO SUPPLY, DELIVER AND INSTALL SPAN approved 2 compartment FRP cold water tank c/w FRP panel, base skid,  internal partition, stainless steel grade 316 internal reinforcement (tie rod),  internal bolt and nuts washers, stainless steel grade 316 internal cat ladders, aluminium external cat ladders, manhole hinged covers, vents, mosquito nettings, level indicators, hole openings for inlet pipes, outlet pipes, balancing pipes, overflow pipes, warning pipes, scour pipes and electrode sensors, necessary internal and external water tightness sealant and all associated accessories for complete installation and functionality of the FRP tank with minimum 10 years warranty from CPC. 

FRP Suction Tank 
Dimension: 26m (L) x 8m (W) x 4m (H) 

The water tank shall have approval from SPAN and the installer shall be certified SPAN plumber.",,Lot,1,, -   ,100%, -   , -   ," 360,000.00 "," 360,000.00 ",," 309,600.00 "," 309,600.00 ",," 310,000.00 "," 310,000.00 ",," 384,000.00 "," 384,000.00 ",,, -   ,," 359,320.00 "," 359,320.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.00,,COLD WATER ROOF STORAGE TANK ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.01,,"TO SUPPLY, DELIVER AND INSTALL SPAN approved 2 compartment FRP cold water tank c/w FRP panel, base skid,  internal partition, stainless steel grade 316 internal reinforcement (tie rod),  internal bolt and nuts washers, stainless steel grade 316 internal cat ladders, aluminium external cat ladders, manhole hinged covers, vents, mosquito nettings, level indicators, hole openings for inlet pipes, outlet pipes, balancing pipes, overflow pipes, warning pipes, scour pipes and electrode sensors, necessary internal and external water tightness sealant and all associated accessories for complete installation and functionality of the FRP tank with minimum 10 years warranty from CPC. 

FRP Roof Water Tank Dimension: 
12m (L) x 12m (W) x 4m (H) 

The water tank shall have approval from SPAN and the installer shall be certified SPAN plumber.",,Lot,1,, -   ,100%, -   , -   ," 250,000.00 "," 250,000.00 ",," 216,000.00 "," 216,000.00 ",," 210,000.00 "," 210,000.00 ",," 264,000.00 "," 264,000.00 ",,, -   ,," 266,970.00 "," 266,970.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.02,,"TO SUPPLY, DELIVER AND INSTALL complete pipework for cold water roof storage tank c/w connection of balancing pipes, digital water meter, warning pipes, overflow pipes and scour pipes with isolation valves, heavy duty ball float valves, vortex inhibitors and all associated accessories and necessary work",,Lot,1,, -   ,100%, -   , -   ," 30,000.00 "," 30,000.00 ",," 35,000.00 "," 35,000.00 ",," 15,000.00 "," 15,000.00 ",," 66,040.00 "," 66,040.00 ",,, -   ,," 16,760.00 "," 16,760.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.00,,WATER FILTER,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.03.01,,"TO SUPPLY, DELIVER AND INSTALL stainless steel sand filter, filter vessel, manifold sand piping, control valves, automatic controller and all associated accessories for complete installation and functionality of the sand filter.

Flowrate:
75m3/hr",,Lot,1,, -   ,100%, -   , -   ," 160,000.00 "," 160,000.00 ",," 91,500.00 "," 91,500.00 ",," 90,000.00 "," 90,000.00 ",," 126,020.00 "," 126,020.00 ",,, -   ,," 85,800.00 "," 85,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.00,,PUMPING SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.01,,"TO SUPPLY AND DELIVER variable speed pump (1 duty/1 standby) cold water SUCTION PUMPSET c/w skid, electric motors, skids, stainless steel 304 suction and discharge manifold, pre-pressurised tank at discharge manifold,  pressure gauges at suction and discharge manifold, valves and flexible couplings at pumps inlet and outlet, check valves at pumps outlet, strainers at pumps inlet, supports, base frame, fittings, main control panel system to all pump in pump system, individual VFD starter with speed control, low water level cut off pressure transmitter, outlet manifold pressure transmitters, electrical wiring, control wiring and all necessary accessories. 

* Pump tag: 
   GF-P-01, & 02

The pumpset capacity flowrate and pressure shall refer to schedule in drawing and selection to its best efficiency.",,Lot,1,, -   ,100%, -   , -   ," 86,605.00 "," 86,605.00 ",," 61,200.00 "," 61,200.00 ",," 60,000.00 "," 60,000.00 ",," 97,085.00 "," 97,085.00 ",,, -   ,," 119,760.00 "," 119,760.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
