ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
03.05.09,,FAF-M00-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.10,,EXF-M00-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.11,,FAF-M00-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.12,,EXF-M00-TOILET(F)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.13,,EXF-M00-TOILET(M)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.14,,EXF-M01-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.15,,FAF-M01-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.16,,EXF-M01-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.17,,FAF-M01-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.18,,EXF-M01-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.19,,FAF-M01-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.20,,EXF-M01-TOILET(F)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.21,,EXF-M01-TOILET(M)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.22,,EXF-M02-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.23,,FAF-M02-SC-01,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.24,,EXF-M02-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.25,,FAF-M02-SC-02,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.26,,EXF-M02-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.27,,FAF-M02-SC-03,,Lot,1," 1,590.00 "," 1,590.00 "
03.05.28,,EXF-M02-TOILET(F)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.29,,EXF-M02-TOILET(M)-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.30,,EXF-R00-CHW-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.31,,EXF-R00-DCW-01,,Lot,1," 1,060.00 "," 1,060.00 "
03.05.32,,PFF-R00-LL1-01,,Lot,1," 10,600.00 "," 10,600.00 "
03.05.33,,PFF-R00-LL2-01,,Lot,1," 10,600.00 "," 10,600.00 "
03.05.34,,PFF-R00-LL4-01,,Lot,1," 10,600.00 "," 10,600.00 "
03.05.35,,PFF-R00-S1-01,,Lot,1," 9,970.00 "," 9,970.00 "
03.05.36,,SSF-R00-ASRS-01 TO 16,,Lot,1," 237,440.00 "," 237,440.00 "
03.05.37,,KEF-F00-01,,Lot,1," 1,060.00 "," 1,060.00 "
,,,,,,,
,,,,,,,
03.06.00,,"Price for any other items NOT mentioned in the above items but shown in the drawings or described in the specificaiton or obviously necessary for complete installation, satisfactory and efficient operation and maintenance of the mechanical ventilation system to authorities and good engineering practice. If no details are to be given, contractor is deem to have priced and included all necessary for the complete installation as per drawings, specification and authority requirements.",,,,,
03.06.01,,,,,,,
03.06.02,,,,,,,
03.06.03,,,,,,,
,,,,,,,
,,Total 03.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 1,781,010.00 "
,,,,,,,
04.00.00,,CRAC,,,,,
,,,,,,,
04.01.00,,"

To supply and install equipment of CRAC indoor and outdoor unit as per drawing : -
",,Nos,2," 76,850.00 "," 153,700.00 "
,,,,,,,
04.01.01,,"To install refrigerant copper piping c/w close cell insulation. 
",,Lot,1," 30,960.00 "," 30,960.00 "
,,,,,,,
04.01.02,,"To install PVC drain pipe c/w close cell insulation.
",,Lot,1," 2,970.00 "," 2,970.00 "
,,,,,,,
04.01.03,,"To supply and install control panel as per drawings and specification
",,,,,
,,ACP-F01-Server-01,,Lot,1," 6,890.00 "," 6,890.00 "
,,,,,,,
04.01.04,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,Lot,1," 8,480.00 "," 8,480.00 "
,,,,,,,
,,Total 04.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 203,000.00 "
,,,,,,,
05.00.00,,Air Handling Unit (AHU) and Fan Coil Unit (FCU),,,,,
,,,,,,,
05.01.00,,TO SUPPLY AND INSTALL the following air handling unit c/w necessary accessories as per drawings and specification.,,,,,
,,,,,,,
05.01.01,,AHU-L2B1-01,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.02,,AHU-L2B1-02,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.03,,AHU-L2B2-01,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.04,,AHU-L2B2-02,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.05,,AHU-L3A1-01,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.06,,AHU-L3A1-02,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.07,,AHU-L3A2-01,,Lot,1," 59,630.00 "," 59,630.00 "
05.01.08,,AHU-L3A2-02,,Lot,1," 59,630.00 "," 59,630.00 "
,,,,,,,
05.02.00,,"TO SUPPLY AND INSTALL G.I. ventilation ductwork c/w TDC joints, duct fittings, and other necessary accessories compliance to tender drawings, specifications and the latest SMACNA duct construction requirement for the following :-
",,,,,
,,,,,,,
05.02.01,,AHU-L2B1-01,,Lot,1," 150,740.00 "," 150,740.00 "
05.02.02,,AHU-L2B1-02,,Lot,1," 148,650.00 "," 148,650.00 "
05.02.03,,AHU-L2B2-01,,Lot,1," 133,670.00 "," 133,670.00 "
05.02.04,,AHU-L2B2-02,,Lot,1," 136,130.00 "," 136,130.00 "
05.02.05,,AHU-L3A1-01,,Lot,1," 150,740.00 "," 150,740.00 "
05.02.06,,AHU-L3A1-02,,Lot,1," 148,650.00 "," 148,650.00 "
05.02.07,,AHU-L3A2-01,,Lot,1," 133,670.00 "," 133,670.00 "
05.02.08,,AHU-L3A2-02,,Lot,1," 136,130.00 "," 136,130.00 "
,,,,,,,
05.03.00,,"TO SUPPLY AND INSTALL  the following c/w powder coated aluminium louvers, grilles with opposed blade damper (OBD), G.I. dampers as per drawings and specifications. Air louvers at fascade or outdoor shall be weather proof type. ",,,,,
,,,,,,,
05.03.01,,AHU-L2B1-01,,,,,
,,Supply Air Grille,,Lot,1," 65,070.00 "," 65,070.00 "
,,Return Air Grille,,Lot,1," 13,250.00 "," 13,250.00 "
,,Flexible Duct,,Lot,1," 8,270.00 "," 8,270.00 "
,,,,,,,
05.03.02,,AHU-L2B1-02,,,,,
,,Supply Air Grille,,Lot,1," 65,910.00 "," 65,910.00 "
,,Return Air Grille,,Lot,1," 10,600.00 "," 10,600.00 "
,,Flexible Duct,,Lot,1," 8,380.00 "," 8,380.00 "
,,,,,,,
05.03.03,,AHU-L2B2-01,,,,,
,,Supply Air Grille,,Lot,1," 59,230.00 "," 59,230.00 "
,,Return Air Grille,,Lot,1," 13,250.00 "," 13,250.00 "
,,Flexible Duct,,Lot,1," 7,530.00 "," 7,530.00 "
,,,,,,,
05.03.04,,AHU-L2B2-02,,,,,
,,Supply Air Grille,,Lot,1," 79,260.00 "," 79,260.00 "
,,Return Air Grille,,Lot,1," 11,930.00 "," 11,930.00 "
,,Flexible Duct,,Lot,1," 10,070.00 "," 10,070.00 "
,,,,,,,
05.03.05,,AHU-L3A1-01,,,,,
,,Supply Air Grille,,Lot,1," 65,070.00 "," 65,070.00 "
,,Return Air Grille,,Lot,1," 13,250.00 "," 13,250.00 "
,,Flexible Duct,,Lot,1," 8,270.00 "," 8,270.00 "
,,,,,,,
05.03.06,,AHU-L3A1-02,,,,,
,,Supply Air Grille,,Lot,1," 65,910.00 "," 65,910.00 "
,,Return Air Grille,,Lot,1," 10,600.00 "," 10,600.00 "
,,Flexible Duct,,Lot,1," 8,380.00 "," 8,380.00 "
,,,,,,,
05.03.07,,AHU-L3A2-01,,,,,
,,Supply Air Grille,,Lot,1," 59,230.00 "," 59,230.00 "
,,Return Air Grille,,Lot,1," 13,250.00 "," 13,250.00 "
,,Flexible Duct,,Lot,1," 7,530.00 "," 7,530.00 "
,,,,,,,
05.03.08,,AHU-L3A2-02,,,,,
,,Supply Air Grille,,Lot,1," 79,260.00 "," 79,260.00 "
,,Return Air Grille,,Lot,1," 11,930.00 "," 11,930.00 "
,,Flexible Duct,,Lot,1," 10,070.00 "," 10,070.00 "
,,,,,,,
05.04.00,,TO SUPPLY AND INSTALL the following fan coil unit c/w necessary accessories as per drawings and specification.,,,,,
,,,,,,,
05.04.01,,FCU-L2-01,,Lot,1," 4,650.00 "," 4,650.00 "
05.04.02,,FCU-L2-02,,Lot,1," 4,650.00 "," 4,650.00 "
05.04.03,,FCU-L2-03,,Lot,1," 4,650.00 "," 4,650.00 "
05.04.04,,FCU-L2-04,,Lot,1," 4,650.00 "," 4,650.00 "
05.04.05,,FCU-L2-05,,Lot,1," 4,650.00 "," 4,650.00 "
05.04.06,,FCU-L2-06,,Lot,1," 4,650.00 "," 4,650.00 "
,,,,,,,
05.05.00,,"TO SUPPLY AND INSTALL G.I. ventilation ductwork c/w TDC joints, duct fittings, and other necessary accessories compliance to tender drawings, specifications and the latest SMACNA duct construction requirement for the following :-
",,,,,
,,,,,,,
05.05.01,,FCU-L2-01,,Lot,1," 4,540.00 "," 4,540.00 "
05.05.02,,FCU-L2-02,,Lot,1," 4,540.00 "," 4,540.00 "
05.05.03,,FCU-L2-03,,Lot,1," 4,540.00 "," 4,540.00 "
05.05.04,,FCU-L2-04,,Lot,1," 4,540.00 "," 4,540.00 "
05.05.05,,FCU-L2-05,,Lot,1," 4,540.00 "," 4,540.00 "
05.05.06,,FCU-L2-06,,Lot,1," 4,540.00 "," 4,540.00 "
,,,,,,,
05.06.00,,"TO SUPPLY AND INSTALL  the following c/w powder coated aluminium louvers, grilles with opposed blade damper (OBD), G.I. dampers as per drawings and specifications. Air louvers at fascade or outdoor shall be weather proof type. ",,,,,
,,,,,,,
05.06.01,,FCU-L2-01,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.06.02,,FCU-L2-02,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.06.03,,FCU-L2-03,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.06.04,,FCU-L2-04,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.06.05,,FCU-L2-05,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.06.06,,FCU-L2-06,,,,, -   
,,Supply Air Grille,,Lot,1," 5,010.00 "," 5,010.00 "
,,Return Air Grille,,Lot,1, 780.00 , 780.00 
,,Flexible Duct,,Lot,1, 640.00 , 640.00 
,,,,,,,
05.07.00,,"TO SUPPLY AND INSTALL the followings control panel  as per tender drawing and specifications c/w circuit breaker, earth leakage protection, electrical bar, panel, earthing and all necessary accessories.",,,,,
,,,,,,,
05.07.01,,ACP-AHU-1,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.02,,ACP-AHU-2,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.03,,ACP-AHU-3,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.04,,ACP-AHU-4,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.05,,ACP-AHU-5,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.06,,ACP-AHU-6,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.07,,ACP-AHU-7,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.08,,ACP-AHU-8,,Lot,1," 16,960.00 "," 16,960.00 "
05.07.09,,ACP-FCU-1,,Lot,1," 2,120.00 "," 2,120.00 "
,,,,,,,
05.08.00,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,,,,
,,,,,,,
05.08.01,,AHU-L2B1-01,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.02,,AHU-L2B1-02,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.03,,AHU-L2B2-01,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.04,,AHU-L2B2-02,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.05,,AHU-L3A1-01,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.06,,AHU-L3A1-02,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.07,,AHU-L3A2-01,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.08,,AHU-L3A2-02,,Lot,1," 4,140.00 "," 4,140.00 "
05.08.09,,FCU-L2-01,,Lot,1," 1,590.00 "," 1,590.00 "
05.08.10,,FCU-L2-02,,Lot,1," 1,590.00 "," 1,590.00 "
05.08.11,,FCU-L2-03,,Lot,1," 1,590.00 "," 1,590.00 "
05.08.12,,FCU-L2-04,,Lot,1," 1,590.00 "," 1,590.00 "
05.08.13,,FCU-L2-05,,Lot,1," 1,590.00 "," 1,590.00 "
05.08.14,,FCU-L2-06,,Lot,1," 1,590.00 "," 1,590.00 "
,,,,,,,
,,Total 05.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 2,595,100.00 "
,,,,,,,
,,,,,,,
06.00.00,,CHILLED WATER AND CONDENSER WATER,,,,,
,,,,,,,
06.01.01,,"

To supply and install Water Cooled Chiller as per drawing : -
",,Nos,3," 424,000.00 "," 1,272,000.00 "
,,,,,,,
06.01.02,,"

To supply and install Cooling Tower as per drawing : -
",,Nos,3," 52,830.00 "," 158,490.00 "
,,,,,,,
06.01.03,,"

To supply and install Chilled Water Pump as per drawing : -
",,Nos,3," 16,700.00 "," 50,100.00 "
,,,,,,,
06.01.04,,"

To supply and install Condenser Water Pump as per drawing : -
",,Nos,3," 17,440.00 "," 52,320.00 "
,,,,,,,
06.01.05,,"

To supply and install  AC Make Up Tank as per drawing : -
",,Nos,1," 130,070.00 "," 130,070.00 "
,,,,,,,
06.01.06,,"To supply and install chilled water pipeworks c/w insulation, isolation springs, hangers, valves and other necessary accessories.",,Lot,1," 769,380.00 "," 769,380.00 "
,,,,,,,
06.01.07,,"To supply and install condenser water pipeworks c/w insulation, isolation springs, hangers, valves and other necessary accessories.",,Lot,1," 458,080.00 "," 458,080.00 "
,,,,,,,
07.01.08,,"To supply and install control panel as per drawings and specification
",,,,,
,,MCC-CH,,Lot,1," 131,440.00 "," 131,440.00 "
,,,,,,,
07.01.09,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,Lot,1," 179,360.00 "," 179,360.00 "
,,,,,,,
,,,,,,,
,,,,,,,
,,Total 06.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 3,201,240.00 "
