ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
02.02.09,,"ACSU-M02-13 to 38 (Type: Ceiling cassette, 18,500 btu/hr)",,Lot,1," 51,680.00 "," 51,680.00 "
,,,,,,,
02.03.00,,"TO SUPPLY AND INSTALL the followings control panel  as per tender drawing and specifications c/w circuit breaker, earth leakage protection, electrical bar, panel, earthing, wiring  and all necessary accessories.",,,,,
,,,,,,,
02.03.01,,ACP-F00-GH-01,,Lot,1," 10,070.00 "," 10,070.00 "
02.03.02,,ACP-F01-Server-02,,Lot,1," 10,070.00 "," 10,070.00 "
02.03.03,,ACP-F02-Server-02,,Lot,1," 10,070.00 "," 10,070.00 "
02.03.04,,ACP-OA-GM,,Lot,1," 11,660.00 "," 11,660.00 "
02.03.05,,ACP-OB-GM,,Lot,1," 11,660.00 "," 11,660.00 "
02.03.06,,ACP-OA-1M,,Lot,1," 11,660.00 "," 11,660.00 "
02.03.07,,ACP-OB-1M,,Lot,1," 11,660.00 "," 11,660.00 "
02.03.08,,ACP-OA-2M,,Lot,1," 11,660.00 "," 11,660.00 "
02.03.09,,ACP-OB-2M,,Lot,1," 11,660.00 "," 11,660.00 "
,,,,,,,
02.04.00,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,,,,
,,,,,,,
02.04.01,,"ACSU-F00-GH-01 & 02 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 1,060.00 "," 1,060.00 "
02.04.02,,"ACSU-F00-SERVER-01 & 02 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 1,060.00 "," 1,060.00 "
02.04.03,,"ACSU-M00-01 to 12 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 6,360.00 "," 6,360.00 "
02.04.04,,"ACSU-M00-13 to 38 (Type: Ceiling cassette, 18,500 btu/hr)",,Lot,1," 17,230.00 "," 17,230.00 "
02.04.05,,"ACSU-F01-SERVER-01 & 02 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 1,060.00 "," 1,060.00 "
02.04.06,,"ACSU-M01-01 to 12 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 6,360.00 "," 6,360.00 "
02.04.07,,"ACSU-M01-13 to 38 (Type: Ceiling cassette, 18,500 btu/hr)",,Lot,1," 17,230.00 "," 17,230.00 "
02.04.08,,"ACSU-M02-01 to 12 (Type: Ceiling cassette, 9,500 btu/hr)",,Lot,1," 6,360.00 "," 6,360.00 "
02.04.09,,"ACSU-M02-13 to 38 (Type: Ceiling cassette, 18,500 btu/hr)",,Lot,1," 17,230.00 "," 17,230.00 "
,,,,,,,
02.05.00,,TO SUPPLY AND INSTALL the following air cooled VRV/VRF equipment c/w necessary accessories as per specification as shown in drawings and tender documents .,,,,,
,,,,,,,
02.05.01,,VRV-F00-01,,Nos,1," 2,480.00 "," 2,480.00 "
02.05.02,,VRV-F00-02 TO 10,,Nos,9," 2,850.00 "," 25,650.00 "
02.05.03,,VRV-M00-01 & 02,,Nos,2," 2,480.00 "," 4,960.00 "
02.05.04,,VRV-M00-03 TO 08,,Nos,6," 2,850.00 "," 17,100.00 "
02.05.05,,CU-R00-01,,Nos,1," 62,480.00 "," 62,480.00 "
,,,,,,,
02.06.00,,"TO SUPPLY AND INSTALL refrigerant & drain piping  and all necessary accessories including necessary items to manufacturer requirements, drawings and specifications.",,,,,
,,,,,,,
02.06.01,,VRV-F00-01,,Lot,1," 3,540.00 "," 3,540.00 "
02.06.02,,VRV-F00-02 TO 10,,Lot,1," 31,800.00 "," 31,800.00 "
02.06.03,,VRV-M00-01 & 02,,Lot,1," 7,070.00 "," 7,070.00 "
02.06.04,,VRV-M00-03 TO 08,,Lot,1," 21,200.00 "," 21,200.00 "
02.06.05,,CU-R00-01,,Lot,1," 3,540.00 "," 3,540.00 "
,,,,,,,
02.07.00,,"TO SUPPLY AND INSTALL the followings control panel  as per tender drawing and specifications c/w circuit breaker, earth leakage protection, electrical bar, panel, earthing and all necessary accessories.",,,,,
,,,,,,,
02.07.01,,CP-VRF-R00-01,,Lot,1," 12,720.00 "," 12,720.00 "
,,,,,,,
02.08.00,,"To supply and install control wiring c/w conduits and brackets as per drawings and specification.
",,,,,
,,,,,,,
02.08.01,,VRV-F00-01,,Lot,1," 1,180.00 "," 1,180.00 "
02.08.02,,VRV-F00-02 TO 10,,Lot,1," 10,600.00 "," 10,600.00 "
02.08.03,,VRV-M00-01 & 02,,Lot,1," 2,360.00 "," 2,360.00 "
02.08.04,,VRV-M00-03 TO 08,,Lot,1," 7,070.00 "," 7,070.00 "
02.08.05,,CU-R00-01,,Lot,1," 1,180.00 "," 1,180.00 "
,,,,,,,
02.09.00,,"Price for any other items NOT mentioned in the above items but shown in the drawings or described in the specification or obviously necessary for complete installation, satisfactory and efficient operation and maintenance of the air conditioning system to authorities and good engineering practice. If no details are to be given, contractor is deem to have priced and included all necessary for the complete installation as per drawings, specification and authority requirements.",,,,,
02.09.01,,,,,,,
02.09.02,,,,,,,
02.09.03,,,,,,,
,,,,,,,
,,Total 02.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 1,217,650.00 "
,,,,,,,
03.00.00,,MECHANICAL VENTILATION SERVICES,,,,,
,,,,,,,
03.01.00,,TO SUPPLY AND INSTALL the following ventilation/smoke spill fans c/w motor as per drawings and specification.,,,,,
,,,,,,,
03.01.01,,EXF-F00-CW-01,,Nos,1, 780.00 , 780.00 
03.01.02,,EXF-F00-FP-01,,Nos,1," 1,150.00 "," 1,150.00 "
03.01.03,,EXF-F00-FP-02,,Nos,1," 1,150.00 "," 1,150.00 "
03.01.04,,EXF-F00-CON-01 TO 06,,Nos,6," 1,150.00 "," 6,900.00 "
03.01.05,,FAF-F00-01,,Nos,1," 1,710.00 "," 1,710.00 "
03.01.06,,EXF-M00-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.07,,FAF-M00-SC-01,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.08,,EXF-M00-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.09,,FAF-M00-SC-02,,Nos,1," 4,080.00 "," 4,080.00 "
03.01.10,,EXF-M00-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
03.01.11,,FAF-M00-SC-03,,Nos,1," 4,350.00 "," 4,350.00 "
