ALP2 - EARTHING & LIGHTNING PROTECTION SERVICES (ELPS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,1,,,2,,,3,,,4,,
,,,,,,BASE COST,,100%,SUBMISSION,, DELTRIC ,,, DELTRIC R1 ,,, PEKAT ,,, ENPRO ,,, TOKAI ,,
ITEM,,DESCRIPTION, U/R ,UNIT,QTY, RATE , AMOUNT ,, RATE , AMOUNT , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK 
01.13.01,,Cost for First Year,,Lot,1," 3,000.00 "," 3,000.00 ",100%," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 ",,," 4,000.00 ",," 10,000.00 "," 10,000.00 ",," 21,000.00 "," 21,000.00 ",
01.13.02,,Cost for Second Year,,Lot,1," 5,000.00 "," 5,000.00 ",100%," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 ",,," 4,000.00 ",," 10,000.00 "," 10,000.00 ",," 25,200.00 "," 25,200.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total 01.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 66,000.00 ",,," 66,000.00 ",," 66,000.00 ",,," 66,000.00 ",,," 82,200.00 ",,," 85,000.00 ",,," 104,200.00 ",
02.00.00,,LIGHTNING PROTECTION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.00,,Warehouse,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.01,,"Supply and install Aluminium air terminal rod min diameter 1/2"" 500mm height c/w termination, mounting and all necessary accessories.",,No,50, 120.00 ," 6,000.00 ",100%, 120.00 ," 6,000.00 ", 150.00 ," 7,500.00 ",, 100.00 ," 5,000.00 ",,," 9,261.00 ", 63 nos ,  LS  ," 8,250.00 ",, 174.00 ," 8,700.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.01,,"Supply and install Aluminium air terminal rod min diameter 1/2"" 500mm height c/w termination, mounting and all necessary accessories.",,No,20, 120.00 ," 2,400.00 ",100%, 120.00 ," 2,400.00 ", 150.00 ," 3,000.00 ",, 150.00 ," 3,000.00 ",,," 9,200.00 ", 40 nos ,  LS  ," 6,500.00 ",, 174.00 ," 3,480.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.02,,"Supply and install 25mm x 3mm horizontal mesh Aluminium (Al) tape c/w square tape clamp, tape to tape joint, aluminium b-bond clamp, aluminium expansion flexible braid bond, stainless steel fastener clip, glue down/adhesive non-metallic dc tape clip  and all necessary accessories at Roof level for complete installation",,M,"3,100", 26.00 ," 80,600.00 ",100%, 26.00 ," 80,600.00 ", 40.00 ," 124,000.00 ",, 35.00 ," 108,500.00 ",,," 245,901.50 ", 3775 m ,  LS  ," 157,000.00 ",, 56.00 ," 173,600.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.03,,"Supply and install 25mm x 3mm vertical down conductor Aluminium (Al) tape run in PVC conduit/trunking from roof level to bi-metallic joint at ground floor, encased in column c/w tape to tape joint and all necessary accessories.",,M,"2,880", 26.00 ," 74,880.00 ",100%, 26.00 ," 74,880.00 ", 35.00 ," 100,800.00 ",, 35.00 ," 100,800.00 ",,," 141,327.10 ",,  LS  ," 115,376.00 "," Prev. 115264.00
Rev. 12/11/2025 ", 47.00 ," 135,360.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.04,,"Supply and install bi-metallic joint  at 1800mm FFL c/w termination, cover and all necessary accessories.",,No,52, 100.00 ," 5,200.00 ",100%, 100.00 ," 5,200.00 ", 220.00 ," 11,440.00 ",, 220.00 ," 11,440.00 ",,," 8,798.00 ", 53 nos ,  LS  ," 15,105.00 "," Prev. 14820.00
Rev. 12/11/2025 ", 299.00 ," 15,847.00 "," 53 nos
Rev. 12/11/2025 "
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.05,,Supply and install 25mm x 3mm Copper (Cu.) from bimetallic joint at ground floor to pile cap rebar c/w termination and all necessary accessories. (10m x 55 points),,M,520, 100.00 ," 52,000.00 ",100%, 100.00 ," 52,000.00 ", 85.00 ," 44,200.00 ",, 85.00 ," 44,200.00 ",,," 41,886.40 ", 557 m ,  LS  ," 39,750.00 "," Prev. 39000.00
Rev. 12/11/2025 ", 67.00 ," 34,840.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.06,,"Supply and install earthing connection at service pilecap using exothermic joint c/w exothermic welding, copper tape in service pile, horizontal 25mm x 3mm Copper (Cu) tape (interlink earth), heavy duty type grounding chamber inc copperbond earth electrodes, couplings, clamp and all other necessary equipment to achieve system earth after interlinking of  5 ohms or below complying to BS7430  (52 nos service pilecap)",,LS,1," 96,040.00 "," 96,040.00 ",100%," 96,040.00 "," 96,040.00 "," 81,432.00 "," 81,432.00 ",," 65,800.00 "," 65,800.00 ",,," 123,057.60 ",,  LS  ," 148,045.00 "," Prev. 146255.00
Rev. 12/11/2025 "," 146,992.00 "," 146,992.00 "," Prev. 145323.00
Rev. 12/11/2025 "
,,Exothermic welding, 120.00 ,NOS,312," 37,440.00 ",,,,,,,,,,,,,,,,,,,
,,25mm x 3mm copper tape, 100.00 ,M,586," 58,600.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.00,,Guardhouse 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.01,,"Supply and install Aluminium air terminal rod min diameter 1/2"" 500mm height c/w termination, mounting and all necessary accessories.",,No,4, 120.00 , 480.00 ,100%, 120.00 , 480.00 , 150.00 , 600.00 ,, 100.00 , 400.00 ,,, N/A , not in drawing ,  LS  , 660.00 ,, 174.00 , 696.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.02,,"Supply and install 25mm x 3mm horizontal mesh Aluminium (Al) tape c/w square tape clamp, tape to tape joint, aluminium b-bond clamp, aluminium expansion flexible braid bond, stainless steel fastener clip, glue down/adhesive non-metallic dc tape clip  and all necessary accessories at Roof level for complete installation",,M,40, 30.00 ," 1,200.00 ",100%, 30.00 ," 1,200.00 ", 40.00 ," 1,600.00 ",, 35.00 ," 1,400.00 ",,, N/A , not in drawing ,  LS  ," 4,980.00 ",, 42.00 ," 1,680.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.03,,"Supply and install 25mm x 3mm vertical down conductor Aluminium (Al) tape run in PVC conduit/trunking from roof level to bi-metallic joint at ground floor, encased in column c/w tape to tape joint and all necessary accessories.",,M,5, 26.00 , 130.00 ,100%, 26.00 , 130.00 , 35.00 , 175.00 ,, 35.00 , 175.00 ,,, N/A , not in drawing ,  LS  , 246.00 ,, 53.00 , 265.00 ,
,,,,,,,,,,,,,,,,,,,,,,,,,
